symptoms,illness,department
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
phát ban-ngứa-ngứa da,Dị ứng da,Da liễu
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
ho dai dẳng-khó thở,Viêm phế quản,Hô hấp
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
niềng răng-nhổ răng-implant,Chỉnh hình răng,Răng hàm mặt
viêm gan B-viêm loét dạ dày,Bệnh gan mật,Nội tiêu hóa và gan mật
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
mất ngủ-mệt mỏi,Mệt mỏi mãn tính,Nội tổng quát
đau khớp-sưng-cứng khớp,Viêm khớp,Khớp
khám sức khỏe xin việc-khám sức khỏe xin cấp Giấy phép lao động,Khám sức khỏe,Khám sức khỏe
ho-viêm xoang-viêm họng,Bệnh tai mũi họng,Bệnh TMH
đau dạ dày-buồn nôn-nôn mửa,Viêm dạ dày ruột,Tiêu hóa
đau chân-sưng chân-khó đi lại,Viêm khớp dạng thấp,Khớp
tăng huyết áp-suy tim-rối loạn nhịp tim,Bệnh tim mạch,Nội tim mạch
đau ngực-khó thở,Đau tim,Tim mạch
suy thận-tiểu máu-tiểu đạm,Suy thận,Nội thận
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau ruột thừa-cắt bướu giáp-túi mật,Bệnh tiêu hóa,Ngoại tổng quát
gút-thoái hóa khớp-viêm khớp,Viêm khớp,Nội cơ xương khớp
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
đau cơ-mệt mỏi-đau khớp,Đau cơ,Y khoa tổng quát
cận thị-viễn thị-đau mắt đỏ,Bệnh mắt,Bệnh về mắt
ho-sốt-viêm phế quản,Bệnh nhi,Nội nhi và tiêm chủng
đau bụng-căng thẳng-buồn nôn,Hội chứng ruột kích thích,Tiêu hóa
